ID,Title,Summary,Image Path,PDF Path
11,"ESG Investment Outcomes, Performance Evaluation, and Attribution","ESG investment strategies have experienced massive inflows in recent years, but investors need better tools to evaluate performance.",https://cfapublications.s3.amazonaws.com/assignment3/images/ESG Investment Outcomes_ Performance Evaluation_ and Attribution.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/ESG Investment Outcomes_ Performance Evaluation_ and Attribution.pdf
12,Middle East Capital Markets: Challenges and Opportunities,"This brief covers the history, current characteristics, and challenges and opportunities of 10 capital markets from the Middle East.",https://cfapublications.s3.amazonaws.com/assignment3/images/Middle East Capital Markets_ Challenges and Opportunities.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Middle East Capital Markets_ Challenges and Opportunities.pdf
13,Managing Material Risk,This paper uses additional factors to extend current methods for long-term risks.,https://cfapublications.s3.amazonaws.com/assignment3/images/Managing Material Risk.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Managing Material Risk.pdf
14,Stock Buyback Motivations and Consequences: A Literature Review,"The growing importance of stock buybacks has raised many questions about their costs and benefits. This analysis reviews relevant research, considers practitioner views, and provides an overall assessment of stock buybacks and their implications.",https://cfapublications.s3.amazonaws.com/assignment3/images/Stock Buyback Motivations and Consequences_ A Literature Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Stock Buyback Motivations and Consequences_ A Literature Review.pdf
15,Investment Luminaries and Their Insights: 25 Years of the Research Foundation Vertin Award,"In this publication, these luminaries share insights and critical investment lessons.",https://cfapublications.s3.amazonaws.com/assignment3/images/Investment Luminaries and Their Insights_ 25 Years of the Research Foundation Vertin Award.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investment Luminaries and Their Insights_ 25 Years of the Research Foundation Vertin Award.pdf
16,"Puzzles of Inflation, Money, and Debt: Applying the Fiscal Theory of the Price Level",The fiscal theory of the price level (FTPL) solves puzzles raised by standard monetary theories.,https://cfapublications.s3.amazonaws.com/assignment3/images/Puzzles of Inflation_ Money_ and Debt_ Applying the Fiscal Theory of the Price Level.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Puzzles of Inflation_ Money_ and Debt_ Applying the Fiscal Theory of the Price Level.pdf
17,Valuation Handbook — International Guide to Cost of Capital: 2021 Summary Edition,The cost of capital is the expected rate of return that the market requires to attract funds to an investment and is one of the most important concepts in finance. A good understanding of this is essential for making global investment decisions.,https://cfapublications.s3.amazonaws.com/assignment3/images/Valuation Handbook _ International Guide to Cost of Capital_ 2021 Summary Edition.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Valuation Handbook _ International Guide to Cost of Capital_ 2021 Summary Edition.pdf
18,Defined Contribution Plans: Challenges and Opportunities for Plan Sponsors,"Most American workers depend on defined-contribution plans to provide for retirement, but experts agree that the basic plan design is flawed. To guide plan sponsors, this publication examines key issues and offers design and policy recommendations.",https://cfapublications.s3.amazonaws.com/assignment3/images/Defined Contribution Plans_ Challenges and Opportunities for Plan Sponsors.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Defined Contribution Plans_ Challenges and Opportunities for Plan Sponsors.pdf
19,The Incredible Upside-Down Fixed-Income Market,"In an unprecedented development, many global bond markets have been trading at negative nominal yields. This publication provides in-depth analysis of the causes of negative yields, the economic and financial impacts, and the outlook for investors.",https://cfapublications.s3.amazonaws.com/assignment3/images/The Incredible Upside-Down Fixed-Income Market.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Incredible Upside-Down Fixed-Income Market.pdf
20,The Emerging Asia Pacific Capital Markets: Challenges and Opportunities,"Asia-Pacific emerging and frontier markets continue to evolve rapidly. With insights from authors based in 11 local markets, this publication offers insights about regulatory developments, market structure, and financial history in the region.",https://cfapublications.s3.amazonaws.com/assignment3/images/The Emerging Asia Pacific Capital Markets_ Challenges and Opportunities.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Emerging Asia Pacific Capital Markets_ Challenges and Opportunities.pdf
21,Capitalism for Everyone,"Although capitalism has been the most successful economic system in history, it has come under increasing criticism in recent years. To address this growing distrust, the authors advocate reforms to make capitalism more inclusive and accountable.",https://cfapublications.s3.amazonaws.com/assignment3/images/Capitalism for Everyone.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Capitalism for Everyone.pdf
22,"Stocks, Bonds, Bills, and Inflation® (SBBI®): 2021 Summary Edition","The SBBI® Summary Edition will help investment professionals gain an understanding of major asset class returns, return calculations, and the long term impact of size, value/growth, and liquidity on returns.",https://cfapublications.s3.amazonaws.com/assignment3/images/Stocks_ Bonds_ Bills_ and Inflation_ (SBBI_)_ 2021 Summary Edition.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Stocks_ Bonds_ Bills_ and Inflation_ (SBBI_)_ 2021 Summary Edition.pdf
23,"Geo-Economics: The Interplay between Geopolitics, Economics, and Investments","As geopolitical factors increasingly influence markets, investors need to gauge the impact on investments. Most experts consider political risks unquantifiable, but this publication shows how such risks can be quantified and used for risk management.",https://cfapublications.s3.amazonaws.com/assignment3/images/Geo-Economics_ The Interplay between Geopolitics_ Economics_ and Investments.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Geo-Economics_ The Interplay between Geopolitics_ Economics_ and Investments.pdf
24,Bursting the Bubble: Rationality in a Seemingly Irrational Market,"Stock market bubbles fascinate researchers because bubbles have major implications for market efficiency, but their existence is disputed. This book evaluates academic research and other analysis of bubbles and their significance for investors.",https://cfapublications.s3.amazonaws.com/assignment3/images/Bursting the Bubble_ Rationality in a Seemingly Irrational Market.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Bursting the Bubble_ Rationality in a Seemingly Irrational Market.pdf
25,"Cryptoassets: The Guide to Bitcoin, Blockchain, and Cryptocurrency for Investment Professionals","Download the CFA Institute Research Foundation guide to cryptoassets and blockchain to learn about cryptocurrency basics, crypto trading, cryptoasset regulations, and more.",https://cfapublications.s3.amazonaws.com/assignment3/images/Cryptoassets_ The Guide to Bitcoin_ Blockchain_ and Cryptocurrency for Investment Professionals.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Cryptoassets_ The Guide to Bitcoin_ Blockchain_ and Cryptocurrency for Investment Professionals.pdf
26,Learning about Risk Management: Insights from Unconventional Risk-Takers,"Think financial professionals have a corner on risk management? Think again. Learn how a Hollywood movie mogul, a poker champion, and a big wave surfer can offer key lessons in risk management, risk mitigation, and client communication.",https://cfapublications.s3.amazonaws.com/assignment3/images/Learning about Risk Management_ Insights from Unconventional Risk-Takers.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Learning about Risk Management_ Insights from Unconventional Risk-Takers.pdf
27,"Stocks, Bonds, Bills, and Inflation® (SBBI®): 2020 Summary Edition","The SBBI® Summary Edition will help investment professionals gain an understanding of major asset class returns, return calculations, and the long term impact of size, value/growth, and liquidity on returns.",https://cfapublications.s3.amazonaws.com/assignment3/images/Stocks_ Bonds_ Bills_ and Inflation_ (SBBI_)_ 2020 Summary Edition.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Stocks_ Bonds_ Bills_ and Inflation_ (SBBI_)_ 2020 Summary Edition.pdf
28,Artificial Intelligence in Asset Management,"Artificial intelligence (AI) has improved portfolio management, trading, and risk management practices by increasing efficiency, accuracy, and compliance. Yet the use of AI can also create new risks and challenges.",https://cfapublications.s3.amazonaws.com/assignment3/images/Artificial Intelligence in Asset Management.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Artificial Intelligence in Asset Management.pdf
29,Is There a Retirement Crisis? An Exploration of the Current Debate,Empirical studies of retirement preparedness find that many US households face a potential crisis. This monograph provides a critical survey of the studies and evaluates the outlook for seven other industrialized countries.,https://cfapublications.s3.amazonaws.com/assignment3/images/Is There a Retirement Crisis_ An Exploration of the Current Debate.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Is There a Retirement Crisis_ An Exploration of the Current Debate.pdf
30,Robert C. Merton and the Science of Finance: A Collection,"Robert C. Merton, 1997 Nobel Prize winner in economics, has been at the forefront of research on many topics in financial economics. In this publication, leading researchers explain Merton’s impact on financial theory and practice.",https://cfapublications.s3.amazonaws.com/assignment3/images/Robert C. Merton and the Science of Finance_ A Collection.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Robert C. Merton and the Science of Finance_ A Collection.pdf
31,ESG and Responsible Institutional Investing Around the World: A Critical Review,"This survey examines academic research on environmental, social, and governance (ESG) investing. Focusing on the growing role of institutional investors, the analysis highlights the importance of assessing portfolio risk exposure to climate change.",https://cfapublications.s3.amazonaws.com/assignment3/images/ESG and Responsible Institutional Investing Around the World_ A Critical Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/ESG and Responsible Institutional Investing Around the World_ A Critical Review.pdf
32,The VIX Index and Volatility-Based Global Indexes and Trading Instruments,"Tools based on volatility indexes are widely used for hedging, diversification, risk management, and alpha generation, but investors should carefully study the pricing, risks, and other key aspects before deciding to use such products.",https://cfapublications.s3.amazonaws.com/assignment3/images/The VIX Index and Volatility-Based Global Indexes and Trading Instruments.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The VIX Index and Volatility-Based Global Indexes and Trading Instruments.pdf
33,Research Foundation Review 2019,"The Research Foundation Review 2019 summarizes the offerings from the CFA Institute Research Foundation over the past year—books, literature reviews, workshop presentations, and other relevant material.",https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2019.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2019.pdf
34,ETFs and Systemic Risks,The growth of exchange-traded funds (ETFs) has raised questions about their effect on market stability. This publication examines the impact of ETFs on the financial system and proposes regulatory actions to mitigate risks.,https://cfapublications.s3.amazonaws.com/assignment3/images/ETFs and Systemic Risks.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/ETFs and Systemic Risks.pdf
35,Performance Attribution: History and Progress,Performance attribution tries to identify sources of portfolio performance and measure the impact of portfolio managers’ decisions. This publication traces attribution analysis from its beginning in the 1970s to the more complex models used today.,https://cfapublications.s3.amazonaws.com/assignment3/images/Performance Attribution_ History and Progress.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Performance Attribution_ History and Progress.pdf
36,Behavioral Finance: The Second Generation,The first generation of behavioral finance described investors as irrational; the second generation describes them as normal—neither rational nor irrational. This monograph focuses on new behavioral insights and provides guidance for avoiding errors.,https://cfapublications.s3.amazonaws.com/assignment3/images/Behavioral Finance_ The Second Generation.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Behavioral Finance_ The Second Generation.pdf
37,African Capital Markets: Challenges and Opportunities,"African markets have experienced rapid transformation but face fundamental challenges, such as illiquidity and access. To help investors, local authors share their perspectives on current developments and future trends for key markets.",https://cfapublications.s3.amazonaws.com/assignment3/images/African Capital Markets_ Challenges and Opportunities.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/African Capital Markets_ Challenges and Opportunities.pdf
38,The Productivity Puzzle: Restoring Economic Dynamism,Economists cannot explain why productivity growth slowed after 2005 in the US and advanced economies. But an innovative interdisciplinary approach goes beyond traditional economic analysis to offer policy solutions and new insights for investors.,https://cfapublications.s3.amazonaws.com/assignment3/images/The Productivity Puzzle_ Restoring Economic Dynamism.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Productivity Puzzle_ Restoring Economic Dynamism.pdf
39,Secure Retirement: Connecting Financial Theory and Human Behavior,"Financial science can be used to improve the retirement planning effort. Despite a vast amount of literature on the topic, Secure Retirement recognizes the need to validate this knowledge and develop a comprehensive framework for investors.",https://cfapublications.s3.amazonaws.com/assignment3/images/Secure Retirement_ Connecting Financial Theory and Human Behavior.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Secure Retirement_ Connecting Financial Theory and Human Behavior.pdf
40,A Cash-Flow Focus for Endowments and Trusts,No spending rule is perfect.  But many trustees who now base spending on market values would benefit by focusing on asset cash flows instead.,https://cfapublications.s3.amazonaws.com/assignment3/images/A Cash-Flow Focus for Endowments and Trusts.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/A Cash-Flow Focus for Endowments and Trusts.pdf
41,University Endowments: A Primer,"On the one hand, these institutions enjoy supportive characteristics that allow them to seek ... Google Play iBook Kindle Publisher Information CFA Institute Research Foundation 20 pages",https://cfapublications.s3.amazonaws.com/assignment3/images/University Endowments_ A Primer.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/University Endowments_ A Primer.pdf
42,Tontines: A Practitioner’s Guide to Mortality-Pooled Investments,Tontines and similar mortality-pooled investment arrangements offer a useful and unique value proposition to the global retirement challenge.,https://cfapublications.s3.amazonaws.com/assignment3/images/Tontines_ A Practitioner_s Guide to Mortality-Pooled Investments.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Tontines_ A Practitioner_s Guide to Mortality-Pooled Investments.pdf
43,Ten Years After: Reflections on the Global Financial Crisis,Summary ... They conclude that regulators should consider time-varying capital requirements and ... He shows evidence that systemic risk has been reduced dramatically since the ... Related,https://cfapublications.s3.amazonaws.com/assignment3/images/Ten Years After_ Reflections on the Global Financial Crisis.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Ten Years After_ Reflections on the Global Financial Crisis.pdf
44,Research Foundation Review 2018,"The Research Foundation Review 2018 summarizes the offerings from the CFA Institute Research Foundation over the past year—books, literature reviews, workshop presentations, and other relevant material.",https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2018.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2018.pdf
45,Investment Governance for Fiduciaries,"Effective investment governance is an enabler of good stewardship, and for this reason it should, in our view, be of interest to all fiduciaries, no matter the size of the pool of assets or the nature of the beneficiaries.",https://cfapublications.s3.amazonaws.com/assignment3/images/Investment Governance for Fiduciaries.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Investment Governance for Fiduciaries.pdf
46,Relationship Alpha,"Adapted from Charlotte Beyer’s 2017 book, Wealth Management Unwrapped, Revised and Expanded, comes a new term—relationship alpha, a competitive advantage for firms serving private clients.",https://cfapublications.s3.amazonaws.com/assignment3/images/Relationship Alpha.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Relationship Alpha.pdf
47,Popularity: A Bridge between Classical and Behavioral Finance,"The PAPM goes even further, providing a theory in an equilibrium framework by ... We did this for five characteristics. First, we argue that companies with high brand values are popular.",https://cfapublications.s3.amazonaws.com/assignment3/images/Popularity_ A Bridge between Classical and Behavioral Finance.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Popularity_ A Bridge between Classical and Behavioral Finance.pdf
48,The Future of Investment Management,"The Fundamental Law of Active Management: Information Ratios Depend on Skill, ... Bibliography 72 ... Trend 1. Active to Passive 74 Trend 2. Increased Competition 78 Trend 3.",https://cfapublications.s3.amazonaws.com/assignment3/images/The Future of Investment Management.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Future of Investment Management.pdf
49,Some Like It Hedged,"Some Like It Hedged ... Hedge passively (i.e., maintain a constant hedge ratio). ... An active hedging program seeks to reduce the risk of the foreign currency exposure ... Additional Formats",https://cfapublications.s3.amazonaws.com/assignment3/images/Some Like It Hedged.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Some Like It Hedged.pdf
50,Mainstreaming Sustainable Investing,"Both are wrong. ... This research is part of the growing body of work collected over the last five years ... Feiner, a founding partner and head of ESG research and advisory at Arabesque Asset ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Mainstreaming Sustainable Investing.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Mainstreaming Sustainable Investing.pdf
51,Foundations of High-Yield Analysis,"27 August 2018 Research Foundation Foundations of High-Yield Analysis Martin S. Fridson, CFA This Research Foundation brief explores various dimensions of the high-yield bond ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Foundations of High-Yield Analysis.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Foundations of High-Yield Analysis.pdf
52,The Current State of Quantitative Equity Investing,"Indeed, in 2011, the president of the American Finance Association described the ... In short, quantitative equity management is alive and well and intellectually active ... Additional Formats",https://cfapublications.s3.amazonaws.com/assignment3/images/The Current State of Quantitative Equity Investing.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Current State of Quantitative Equity Investing.pdf
53,Risk Profiling and Tolerance: Insights for the Private Wealth Manager,"1 June 2018 Research Foundation Risk Profiling and Tolerance: Insights for the Private Wealth Manager Joachim Klement, CFP, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/Risk Profiling and Tolerance_ Insights for the Private Wealth Manager.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Risk Profiling and Tolerance_ Insights for the Private Wealth Manager.pdf
54,Risk Tolerance and Circumstances,"In Europe, the Markets in Financial Instruments Directive (MiFID) requires financial advisers ... 35, 4). ... The survey allowed the authors to measure risk preferences and perceptions in real ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Risk Tolerance and Circumstances.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Risk Tolerance and Circumstances.pdf
55,Research Foundation Review 2017,1 March 2018 Research Foundation Research Foundation Review 2017 CFA Institute Research Foundation Research Foundation Review 2017 View the full book (PDF),https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2017.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2017.pdf
56,Alternative Investments: A Primer for Investment Professionals,Learn about alternative investments with CFA Institute. Understand how alternative investing strategies compare to traditional investing and portfolio management.,https://cfapublications.s3.amazonaws.com/assignment3/images/Alternative Investments_ A Primer for Investment Professionals.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Alternative Investments_ A Primer for Investment Professionals.pdf
57,Handbook on Sustainable Investments: Background Information and Practical Examples for Institutional Asset Owners,1 December 2017 Research Foundation Handbook on Sustainable Investments: Background Information and Practical Examples for ... Swiss Sustainable Finance ... Additional Formats,https://cfapublications.s3.amazonaws.com/assignment3/images/Handbook on Sustainable Investments_ Background Information and Practical Examples for Institutional Asset Owners.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Handbook on Sustainable Investments_ Background Information and Practical Examples for Institutional Asset Owners.pdf
58,"Equity Valuation: Science, Art, or Craft?",Caroline Jonas ... The authors point to the limits of widely used valuation techniques. ... Additional Formats ... Publisher Information The CFA Institute Research Foundation 103 pages,https://cfapublications.s3.amazonaws.com/assignment3/images/Equity Valuation_ Science_ Art_ or Craft_.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Equity Valuation_ Science_ Art_ or Craft_.pdf
59,The Equity Risk Premium: A Contextual Literature Review,1 November 2017 Research Foundation The Equity Risk Premium: A Contextual Literature Review Laurence B. Siegel ... Publisher Information CFA Institute Research Foundation 30 pages,https://cfapublications.s3.amazonaws.com/assignment3/images/The Equity Risk Premium_ A Contextual Literature Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/The Equity Risk Premium_ A Contextual Literature Review.pdf
60,A Primer For Investment Trustees: Understanding Investment Committee Responsibilities,"1 October 2017 Research Foundation A Primer For Investment Trustees: Understanding Investment Committee Responsibilities Jeffery V. Bailey, CFA Thomas M. Richards, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/A Primer For Investment Trustees_ Understanding Investment Committee Responsibilities.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/A Primer For Investment Trustees_ Understanding Investment Committee Responsibilities.pdf
61,New Vistas in Risk Profiling,"What is important is that there is a crucial distinction to be made between ... In the end, the role of suitability is to steer investors to better outcomes, not ... Ability to Take Risk",https://cfapublications.s3.amazonaws.com/assignment3/images/New Vistas in Risk Profiling.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/New Vistas in Risk Profiling.pdf
62,Asian Structured Products,"These transactions are almost never disclosed to third parties; thus, this multi- ... Although the products themselves are quite visible, it is impossible to know exactly how ... 3. Leverage",https://cfapublications.s3.amazonaws.com/assignment3/images/Asian Structured Products.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Asian Structured Products.pdf
63,"FinTech and RegTech in a Nutshell, and the Future in a Sandbox",Learn about FinTech and RegTech with CFA Institute. Understand how financial and regulatory technology relate through industry regulations and sandboxes.,https://cfapublications.s3.amazonaws.com/assignment3/images/FinTech and RegTech in a Nutshell_ and the Future in a Sandbox.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/FinTech and RegTech in a Nutshell_ and the Future in a Sandbox.pdf
64,Financial Risk Tolerance: A Psychometric Review,"John E. Grable ... Generally, it is easier to measure cognitive, rather than affective, aspects of human ... For instance, on a cognitive test, not all questions are equally difficult.",https://cfapublications.s3.amazonaws.com/assignment3/images/Financial Risk Tolerance_ A Psychometric Review.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Financial Risk Tolerance_ A Psychometric Review.pdf
65,投资管理人的选择,"1 June 2017 Research Foundation 投资管理人的选择 The Importance of Manager Selection Scott D. Stewart, CFA 投资管理人的选择 - The Importance of Manager Selection View the full book (PDF)",https://cfapublications.s3.amazonaws.com/assignment3/images/投资管理人的选择.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/投资管理人的选择.pdf
66,Research Foundation Review 2016,1 May 2017 Research Foundation Research Foundation Review 2016 CFA Institute Research Foundation Review 2016 View this book (PDF) The Research Foundation Review 2016 summarizes the ...,https://cfapublications.s3.amazonaws.com/assignment3/images/Research Foundation Review 2016.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Research Foundation Review 2016.pdf
67,Impact of Reporting Frequency on UK Public Companies,"Before 2007, UK companies were also encouraged by regulators to issue “trading ... 2 ... Instead, the IMS was to contain the following: ... (European Parliament and Council 2004, Art. 6.1)",https://cfapublications.s3.amazonaws.com/assignment3/images/Impact of Reporting Frequency on UK Public Companies.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Impact of Reporting Frequency on UK Public Companies.pdf
68,Factor Investing and Asset Allocation,This monograph draws heavily on the vast body of knowledge that has been built by ... Additional Formats ... The CFA Institute Research Foundation 172 pages ISSN/ISBN: 978-1-944960-14-8,https://cfapublications.s3.amazonaws.com/assignment3/images/Factor Investing and Asset Allocation.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Factor Investing and Asset Allocation.pdf
69,Financial Market History: Reflections on the Past for Investors Today,"1 December 2016 Research Foundation Financial Market History: Reflections on the Past for Investors Today David Chambers Elroy Dimson, FSIP, PhD ... Additional Formats",https://cfapublications.s3.amazonaws.com/assignment3/images/Financial Market History_ Reflections on the Past for Investors Today.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Financial Market History_ Reflections on the Past for Investors Today.pdf
70,Technical Analysis: Modern Perspectives,"1 November 2016 Research Foundation Technical Analysis: Modern Perspectives Gordon Scott, CMT Michael Carr, CMT Mark Cremonie, CMT, CFA",https://cfapublications.s3.amazonaws.com/assignment3/images/Technical Analysis_ Modern Perspectives.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Technical Analysis_ Modern Perspectives.pdf
71,Gender Diversity in Investment Management: New Research for Practitioners on How to Close the Gender Gap,"We drew some questions from surveys conducted of the general population, which then ... Footnote(s) ... Delaware Journal of Corporate Law, vol 39, no. 2 (2014): www.djcl.org/volume-39/2014-%e2 ...",https://cfapublications.s3.amazonaws.com/assignment3/images/Gender Diversity in Investment Management_ New Research for Practitioners on How to Close the Gender Gap.jpg,https://cfapublications.s3.amazonaws.com/assignment3/pdfs/Gender Diversity in Investment Management_ New Research for Practitioners on How to Close the Gender Gap.pdf
